Wkr.-Nr.;Wahlkreisname;WB09;WB13
131;Gütersloh I;232 944;
132;Bielefeld – Gütersloh II;247 085;
133;Herford – Minden-Lübbecke II;233 781;
134;Minden-Lübbecke I;209 155;
135;Lippe I;174 517;
136;Höxter – Lippe II;216 917;
137;Paderborn – Gütersloh III;243 442;
138;Hagen – Ennepe-Ruhr-Kreis I;217 768;
139;Ennepe-Ruhr-Kreis II;183 435;
140;Bochum I;214 358;
141;Herne – Bochum II;188 777;
142;Dortmund I;214 213;
143;Dortmund II;208 840;
144;Unna I;202 933;
145;Hamm – Unna II;239 907;
146;Soest;232 781;
147;Hochsauerlandkreis;209 440;
148;Siegen-Wittgenstein;218 411;
149;Olpe – Märkischer Kreis I;214 196;
150;Märkischer Kreis II;210 993;
151;Nordsachsen;178 447;
152;Leipzig I;202 455;
153;Leipzig II;212 804;
154;Leipzig-Land;231 084;
155;Meißen;216 629;
156;Bautzen I;237 786;
157;Görlitz;238 958;
158;Sächsische Schweiz-Osterzgebirge;215 674;
159;Dresden I;230 676;
160;Dresden II – Bautzen II;231 247;
161;Mittelsachsen;223 149;
162;Chemnitz;205 652;
163;Chemnitzer Umland – Erzgebirgskreis II;202 743;
164;Erzgebirgskreis I;247 624;
165;Zwickau;229 535;
166;Vogtlandkreis;213 732;
167;Waldeck;192 360;
168;Kassel;222 636;
169;Werra-Meißner – Hersfeld-Rotenburg;184 337;
170;Schwalm-Eder;194 732;
171;Marburg;185 071;
172;Lahn-Dill;212 611;
173;Gießen;214 882;
174;Fulda;210 695;
175;Main-Kinzig – Wetterau II – Schotten;181 422;
176;Hochtaunus;182 246;
177;Wetterau I;173 946;
178;Rheingau-Taunus – Limburg;221 226;
179;Wiesbaden;187 479;
180;Hanau;175 874;
181;Main-Taunus;195 505;
182;Frankfurt am Main I;190 058;
183;Frankfurt am Main II;212 140;
184;Groß-Gerau;172 278;
185;Offenbach;221 180;
186;Darmstadt;233 622;
187;Odenwald;234 911;
188;Bergstraße;199 708;
189;Eichsfeld – Nordhausen – Unstrut-Hainich-Kreis I;204 717;
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis II;201 700;
191;Kyffhäuserkreis – Sömmerda – Weimarer Land I;201 075;
192;Gotha – Ilm-Kreis;214 510;
193;Erfurt – Weimar – Weimarer Land II;225 534;
194;Gera – Jena – Saale-Holzland-Kreis;245 228;
195;Greiz – Altenburger Land;182 336;
196;Sonneberg – Saalfeld-Rudolstadt – Saale-Orla-Kreis;231 447;
197;Suhl – Schmalkalden-Meiningen – Hildburghausen;207 012;
198;Neuwied;242 568;
199;Ahrweiler;195 658;
200;Koblenz;196 560;
201;Mosel/Rhein-Hunsrück;178 493;
202;Kreuznach;190 569;
203;Bitburg;168 357;
204;Trier;192 571;
205;Montabaur;213 225;
206;Mainz;251 837;
207;Worms;202 156;
208;Ludwigshafen/Frankenthal;217 445;
209;Neustadt – Speyer;220 974;
210;Kaiserslautern;235 030;
211;Pirmasens;184 220;
212;Südpfalz;214 215;
213;Altötting;166 775;
214;Erding – Ebersberg;185 961;
215;Freising;212 087;
216;Fürstenfeldbruck;244 678;
217;Ingolstadt;250 512;
218;München-Nord;220 785;
219;München-Ost;231 017;
220;München-Süd;211 617;
221;München-West/Mitte;231 682;
222;München-Land;242 625;
223;Rosenheim;226 483;
224;Starnberg;242 366;
225;Traunstein;205 115;
226;Weilheim;249 153;
227;Deggendorf;154 767;
228;Landshut;246 833;
229;Passau;186 068;
230;Rottal-Inn;162 109;
231;Straubing;173 068;
232;Amberg;214 616;
233;Regensburg;243 083;
234;Schwandorf;216 044;
235;Weiden;172 011;
236;Bamberg;177 197;
237;Bayreuth;164 344;
238;Coburg;162 834;
239;Hof;180 735;
240;Kulmbach;173 473;
241;Ansbach;243 953;
242;Erlangen;177 261;
243;Fürth;249 703;
244;Nürnberg-Nord;189 738;
245;Nürnberg-Süd;184 672;
246;Roth;224 946;
247;Aschaffenburg;183 872;
248;Bad Kissingen;219 607;
249;Main-Spessart;199 081;
250;Schweinfurt;200 116;
251;Würzburg;225 807;
252;Augsburg-Stadt;206 196;
253;Augsburg-Land;240 672;
254;Donau-Ries;189 097;
255;Neu-Ulm;235 775;
256;Oberallgäu;221 708;
257;Ostallgäu;242 341;
258;Stuttgart I;184 454;
259;Stuttgart II;181 088;
260;Böblingen;244 919;
261;Esslingen;165 210;
262;Nürtingen;204 091;
263;Göppingen;180 442;
264;Waiblingen;220 220;
265;Ludwigsburg;206 805;
266;Neckar-Zaber;224 090;
267;Heilbronn;241 035;
268;Schwäbisch Hall – Hohenlohe;223 234;
269;Backnang – Schwäbisch Gmünd;176 381;
270;Aalen – Heidenheim;224 418;
271;Karlsruhe-Stadt;201 833;
272;Karlsruhe-Land;208 654;
273;Rastatt;208 664;
274;Heidelberg;211 807;
275;Mannheim;198 437;
276;Odenwald – Tauber;215 910;
277;Rhein-Neckar;195 971;
278;Bruchsal – Schwetzingen;194 304;
279;Pforzheim;220 877;
280;Calw;198 923;
281;Freiburg;210 636;
282;Lörrach – Müllheim;225 703;
283;Emmendingen – Lahr;213 013;
284;Offenburg;204 619;
285;Rottweil – Tuttlingen;200 726;
286;Schwarzwald-Baar;167 458;
287;Konstanz;197 671;
288;Waldshut;177 784;
289;Reutlingen;198 399;
290;Tübingen;189 559;
291;Ulm;218 934;
292;Biberach;162 508;
293;Bodensee;167 789;
294;Ravensburg;181 362;
295;Zollernalb – Sigmaringen;185 890;
296;Saarbrücken;207 292;
297;Saarlouis;214 924;
298;St. Wendel;184 896;
299;Homburg;201 442;
